Title,ToTal Gross,Release Date,Distributor
GoWest,340017,7/19/23,PurdieDistribution
Terrifier,339946,7/19/23,'-
Selfiee,335775,2/24/23,'-
TurnEveryPage:TheAdventuresofRobertCaroandRobertGottlieb,335417,12/30/23,SonyPicturesEntertainment(SPE)
WildLife,326184,4/14/23,Picturehouse
ChildrenoftheCorn,325583,3/3/23,'-
WaltairVeerayya,320000,1/13/23,'-
TheLesson,310746,7/7/23,'-
Psycho-Pass:Providence,309757,7/14/23,Crunchyroll
UFC291:Poiriervs.Gaethje2,308825,7/29/23,'-
MirandoAlCielo,295539,4/18/23,FathomEvents
Joyland,302550,4/7/23,Oscilloscope
Passages,415827,8/4/23,MUBI
SouthernGospel,293496,3/10/23,'-
SchoolofMagicalAnimals,288414,3/24/23,BlueFoxEntertainment
Dreamin'Wild,276672,8/4/23,RoadsideAttractions
TheEightMountains,302456,4/28/23,VarianceFilms
EveryBody,273860,6/30/23,FocusFeatures
EmpireofLight,1177577,12/9/23,SearchlightPictures
BorntoFly,277011,4/28/23,WellGoUSAEntertainment
RRRFanCelebRRRation2023Re-release,256566,3/3/23,VarianceFilms
Malum,221738,3/31/23,'-
AlltheBeautyandtheBloodshed,500082,11/23/23,'-
SaintOmer,213953,1/13/23,Neon
Afire,204620,7/14/23,SideshowReleasing
OneFineMorning,214470,1/27/23,SonyPicturesEntertainment(SPE)
Lourdes2022Re-release,197702,2/8/23,FathomEvents
WhenYouFinishSavingtheWorld,196920,1/20/23,A24
LandscapewithInvisibleHand,193829,8/18/23,'-
LyleLyleCrocodile,46888441,10/7/23,SonyPicturesEntertainment(SPE)
TheConformist2023Re-release,180135,1/6/23,KinoLorber
Contempt4kRestoration-60thAnniversary,173816,6/30/23,RialtoPictures
TheWrathofBecky,168109,5/26/23,QuiverDistribution
TheStarlingGirl,161290,5/12/23,BleeckerStreetMedia
¡QuevivaMéxico!,161222,3/24/23,SonyPicturesEntertainment(SPE)
EnysMen,189579,3/31/23,'-
